Seed,UE,X,Y,Z,Distance,AvgCQI,CC1,CC2,CC3,CC4,CC5,CQI_CC1,CQI_CC2,CQI_CC3,CQI_CC4,CQI_CC5,Thr_CC1_Mbps,Thr_CC2_Mbps,Thr_CC3_Mbps,Thr_CC4_Mbps,Thr_CC5_Mbps,TotalThr_Mbps
101,1,4.91958831073385,55.5918986340535,1.5,62.6650743467682,14.8,1,0,1,1,1,15,15,14,15,15,3.024,0,0,7.602,2.422,13.048
101,2,21.2002760604419,5.36024225911421,1.5,35.9226099012216,15,1,0,1,1,1,15,15,15,15,15,3.052,0,2.422,0,2.324,7.798
101,3,-141.457732056571,-135.45463877208,1.5,197.915383746346,2.8,1,0,1,1,1,3,0,3,6,2,1.022,0,0,0.756,1.47,3.248
101,4,-98.5435031324691,-108.639228731368,1.5,149.41738195058,7.4,1,0,1,1,1,2,8,8,11,8,0.182,0,2.03,0,0,2.212
101,5,55.5830945091938,-93.9097721586237,1.5,112.786416301355,9,1,0,1,1,1,12,11,6,5,11,2.898,0,0.798,2.128,0,5.824
101,6,100.169058790823,148.295370346229,1.5,181.211498545662,8.2,1,0,1,1,1,10,4,10,10,7,5.376,0,2.562,0,1.75,9.688
101,7,-57.9101340983287,6.19961900549008,1.5,64.8403339527153,15,1,0,1,1,1,15,15,15,15,15,0.532,0,4.536,2.422,0,7.49
101,8,118.083923905019,23.6368606426251,1.5,123.752835385074,11.8,1,0,1,1,1,10,13,13,15,8,3.024,0,0,2.338,1.61,6.972
101,9,66.4631585304914,70.4457174808146,1.5,100.956428984171,12,1,0,1,1,1,10,15,15,8,12,0.504,0,2.464,0,5.306,8.274
101,10,-93.018313738561,12.5885316688781,1.5,98.0975423766758,10.4,1,0,1,1,1,12,10,6,13,11,0.49,0,0.896,4.886,5.054,11.326
101,11,16.2682773374361,123.946067302731,1.5,128.216747920624,8.6,1,0,1,1,1,7,3,15,7,11,2.016,0,4.984,0.364,2.38,9.744
101,12,-44.3604137920158,92.3760452963751,1.5,106.364609040775,9,1,0,1,1,1,11,8,10,4,12,5.67,0,0,0,0,5.67
101,13,-95.4322792019764,-29.1006507918638,1.5,103.761350175265,11.2,1,0,1,1,1,15,10,10,8,13,3.01,0,7.448,5.096,5.026,20.58
101,14,85.6805285593076,-42.8326971537636,1.5,99.9401967161781,12,1,0,1,1,1,13,13,13,13,8,3.108,0,2.38,2.394,1.61,9.492
101,15,139.644966723591,135.863014413262,1.5,196.905371731426,5.2,1,0,1,1,1,4,4,10,0,8,0.812,0,2.604,0,3.542,6.958
101,16,-80.2939014555718,-46.910526632232,1.5,97.2623160318035,10.8,1,0,1,1,1,15,13,5,10,11,2.898,0,0.756,0,5.096,8.75
101,17,-124.931569900997,109.529944895498,1.5,168.573295591973,7,1,0,1,1,1,7,5,8,9,6,0.294,0,1.778,3.178,0,5.25
101,18,31.0645266873656,99.0833136596391,1.5,107.678957387618,11.6,1,0,1,1,1,15,11,10,8,14,7.322,0,7.644,0,2.464,17.43
101,19,68.6978271862853,11.4484347742672,1.5,75.250967561204,11.8,1,0,1,1,1,15,12,11,11,10,8.148,0,2.45,4.872,0,15.47
101,20,-67.1283514508212,126.740811770167,1.5,146.224823257427,10.2,1,0,1,1,1,11,11,7,8,14,2.954,0,0,0,4.914,7.868
101,1,4.91958831073385,55.5918986340535,1.5,62.6650743467682,14.8,1,1,1,1,1,15,15,14,15,15,0.518,2.464,0,7.756,2.478,13.216
101,2,21.2002760604419,5.36024225911421,1.5,35.9226099012216,15,1,1,1,1,1,15,15,15,15,15,5.572,0,0,0,0,5.572
101,3,-141.457732056571,-135.45463877208,1.5,197.915383746346,3,1,1,1,1,1,4,0,3,6,2,1.708,0,0,1.12,0,2.828
101,4,-98.5435031324691,-108.639228731368,1.5,149.41738195058,7.4,1,1,1,1,1,2,8,8,11,8,1.064,1.554,1.764,0,0,4.382
101,5,55.5830945091938,-93.9097721586237,1.5,112.786416301355,9.2,1,1,1,1,1,12,11,6,6,11,3.22,7.616,0.938,0,0,11.774
101,6,100.169058790823,148.295370346229,1.5,181.211498545662,8.4,1,1,1,1,1,10,4,11,10,7,3.122,0.77,2.38,0,5.04,11.312
101,7,-57.9101340983287,6.19961900549008,1.5,64.8403339527153,15,1,1,1,1,1,15,15,15,15,15,0.378,2.758,4.858,5.236,0,13.23
101,8,118.083923905019,23.6368606426251,1.5,123.752835385074,12,1,1,1,1,1,11,13,13,15,8,2.982,2.59,0,0,4.844,10.416
101,9,66.4631585304914,70.4457174808146,1.5,100.956428984171,12.2,1,1,1,1,1,10,15,15,8,13,0.378,2.632,2.422,0,7.56,12.992
101,10,-93.018313738561,12.5885316688781,1.5,98.0975423766758,10.6,1,1,1,1,1,12,10,6,14,11,3.542,0,3.36,5.39,2.436,14.728
101,11,16.2682773374361,123.946067302731,1.5,128.216747920624,8.8,1,1,1,1,1,8,3,15,7,11,0.336,1.876,4.928,5.264,2.618,15.022
101,12,-44.3604137920158,92.3760452963751,1.5,106.364609040775,9,1,1,1,1,1,11,8,10,4,12,5.656,5.18,0,0,0,10.836
101,13,-95.4322792019764,-29.1006507918638,1.5,103.761350175265,11.8,1,1,1,1,1,15,10,11,9,14,0.49,2.366,7.798,1.694,2.562,14.91
101,14,85.6805285593076,-42.8326971537636,1.5,99.9401967161781,12,1,1,1,1,1,13,13,13,13,8,5.278,2.562,2.492,0,1.75,12.082
101,15,139.644966723591,135.863014413262,1.5,196.905371731426,5.4,1,1,1,1,1,4,4,10,0,9,2.898,3.416,0.56,0,1.568,8.442
101,16,-80.2939014555718,-46.910526632232,1.5,97.2623160318035,11.2,1,1,1,1,1,15,13,6,10,12,3.234,2.464,1.652,0,2.576,9.926
101,17,-124.931569900997,109.529944895498,1.5,168.573295591973,7.2,1,1,1,1,1,7,5,8,10,6,3.668,0,0,12.95,0,16.618
101,18,31.0645266873656,99.0833136596391,1.5,107.678957387618,12,1,1,1,1,1,15,11,11,8,15,2.968,0,2.492,0,7.868,13.328
101,19,68.6978271862853,11.4484347742672,1.5,75.250967561204,12,1,1,1,1,1,15,12,11,12,10,3.024,0,4.97,10.612,0,18.606
101,20,-67.1283514508212,126.740811770167,1.5,146.224823257427,10.4,1,1,1,1,1,12,10,7,8,15,0.476,0,0,0,5.628,6.104
101,1,4.91958831073385,55.5918986340535,1.5,62.6650743467682,15,1,0,1,1,1,15,15,15,15,15,0.476,0,0,0,5.25,5.726
101,2,21.2002760604419,5.36024225911421,1.5,35.9226099012216,15,1,0,1,1,1,15,15,15,15,15,0.378,0,0,0,0,0.378
101,3,-141.457732056571,-135.45463877208,1.5,197.915383746346,4,1,0,1,1,1,5,1,4,7,3,1.106,0,0,3.444,0,4.55
101,4,-98.5435031324691,-108.639228731368,1.5,149.41738195058,8.4,1,0,1,1,1,3,9,10,11,9,3.906,0,2.45,0,0,6.356
