Seed,UE,X,Y,Z,Distance,AvgCQI,CC1,CC2,CC3,CC4,CC5,CQI_CC1,CQI_CC2,CQI_CC3,CQI_CC4,CQI_CC5,Thr_CC1_Mbps,Thr_CC2_Mbps,Thr_CC3_Mbps,Thr_CC4_Mbps,Thr_CC5_Mbps,TotalThr_Mbps
101.0,1.0,4.919588310733847,55.591898634053486,1.5,62.66507434676821,14.8,1.0,1.0,1.0,1.0,1.0,15.0,15.0,14.0,15.0,15.0,3.01,0.0,7.504,2.464,0.0,12.978
101.0,2.0,21.200276060441936,5.360242259114212,1.5,35.922609901221556,15.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,3.052,2.632,0.0,2.394,0.0,8.078
101.0,3.0,-141.4577320565709,-135.45463877207982,1.5,197.91538374634558,2.8,1.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,6.0,2.0,1.022,0.0,0.756,1.582,0.84,4.2
101.0,4.0,-98.54350313246908,-108.63922873136816,1.5,149.4173819505799,7.4,1.0,1.0,1.0,1.0,1.0,2.0,8.0,8.0,11.0,8.0,0.182,2.03,0.0,0.0,3.458,5.67
101.0,5.0,55.583094509193764,-93.90977215862368,1.5,112.78641630135509,9.0,1.0,1.0,1.0,1.0,1.0,12.0,11.0,6.0,5.0,11.0,2.912,2.408,2.296,0.0,2.324,9.94
101.0,6.0,100.16905879082296,148.2953703462291,1.5,181.21149854566238,8.2,1.0,1.0,1.0,1.0,1.0,10.0,4.0,10.0,10.0,7.0,5.334,0.798,0.0,2.282,1.652,10.066
101.0,7.0,-57.910134098328655,6.199619005490076,1.5,64.84033395271527,15.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,0.448,4.928,2.45,0.0,5.082,12.908
101.0,8.0,118.08392390501919,23.636860642625066,1.5,123.75283538507408,11.8,1.0,1.0,1.0,1.0,1.0,10.0,13.0,13.0,15.0,8.0,3.094,0.0,2.59,2.66,3.332,11.676
101.0,9.0,66.4631585304914,70.44571748081457,1.5,100.95642898417105,12.0,1.0,1.0,1.0,1.0,1.0,10.0,15.0,15.0,8.0,12.0,0.476,2.632,0.0,3.584,2.492,9.184
101.0,10.0,-93.01831373856096,12.588531668878055,1.5,98.0975423766758,10.4,1.0,1.0,1.0,1.0,1.0,12.0,10.0,6.0,13.0,11.0,0.616,2.338,1.54,4.634,3.164,12.292
101.0,11.0,16.268277337436142,123.94606730273057,1.5,128.21674792062367,8.6,1.0,1.0,1.0,1.0,1.0,7.0,3.0,15.0,7.0,11.0,1.89,1.596,0.546,1.638,0.0,5.67
101.0,12.0,-44.36041379201576,92.37604529637514,1.5,106.36460904077451,9.0,1.0,1.0,1.0,1.0,1.0,11.0,8.0,10.0,4.0,12.0,5.208,0.0,0.0,0.0,2.59,7.798
101.0,13.0,-95.4322792019764,-29.100650791863792,1.5,103.76135017526506,11.2,1.0,1.0,1.0,1.0,1.0,15.0,10.0,10.0,8.0,13.0,2.604,7.448,7.07,2.982,4.634,24.738
101.0,14.0,85.68052855930765,-42.83269715376365,1.5,99.94019671617805,12.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,8.0,2.996,2.506,2.59,2.324,1.764,12.18
101.0,15.0,139.64496672359078,135.86301441326196,1.5,196.90537173142584,5.2,1.0,1.0,1.0,1.0,1.0,4.0,4.0,10.0,0.0,8.0,0.896,0.714,4.886,0.0,0.0,6.496
101.0,16.0,-80.2939014555718,-46.91052663223205,1.5,97.26231603180354,10.8,1.0,1.0,1.0,1.0,1.0,15.0,13.0,5.0,10.0,11.0,3.178,2.478,0.0,4.956,4.914,15.526
101.0,17.0,-124.93156990099689,109.5299448954984,1.5,168.57329559197265,7.0,1.0,1.0,1.0,1.0,1.0,7.0,5.0,8.0,9.0,6.0,0.364,0.798,3.234,0.0,0.0,4.396
101.0,18.0,31.064526687365557,99.08331365963909,1.5,107.67895738761808,11.6,1.0,1.0,1.0,1.0,1.0,15.0,11.0,10.0,8.0,14.0,7.448,7.35,0.0,1.918,2.492,19.208
101.0,19.0,68.69782718628534,11.448434774267213,1.5,75.25096756120399,11.8,1.0,1.0,1.0,1.0,1.0,15.0,12.0,11.0,11.0,10.0,8.302,2.324,5.11,0.0,4.858,20.594
101.0,20.0,-67.12835145082117,126.74081177016708,1.5,146.22482325742743,10.2,1.0,1.0,1.0,1.0,1.0,11.0,11.0,7.0,8.0,14.0,3.122,0.0,0.0,3.248,2.282,8.652
101.0,1.0,4.919588310733847,55.591898634053486,1.5,62.66507434676821,15.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,0.686,0.0,2.59,7.476,0.0,10.752
101.0,2.0,21.200276060441936,5.360242259114212,1.5,35.922609901221556,15.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,15.0,15.0,8.036,5.054,0.0,2.646,0.0,15.736
101.0,3.0,-141.4577320565709,-135.45463877207982,1.5,197.91538374634558,3.2,1.0,1.0,1.0,1.0,1.0,4.0,0.0,3.0,7.0,2.0,1.106,0.0,0.0,3.472,0.798,5.376
