maskIdx,reward
21,-55.142000
25,-64.018000
21,-42.892000
21,-27.072000
21,-20.660000
21,-28.668000
21,-23.796000
21,-31.608000
22,-21.206000
22,-25.056000
21,-28.332000
21,-25.126000
21,-31.244000
25,-27.492000
26,-17.846000
26,-21.150000
26,-22.270000
21,-40.190000
25,-50.816000
26,-52.342000
21,-60.742000
28,-50.522000
21,-44.054000
16,58.114000
21,-26.470000
21,-33.456000
21,-25.910000
21,-28.178000
21,-16.600000
21,-20.520000
21,-17.538000
21,-23.418000
21,-29.620000
21,-48.086000
21,-55.954000
16,62.930000
18,13.750000
22,-36.144000
21,-31.622000
21,-34.954000
21,-64.760000
21,-53.140000
16,64.330000
16,66.668000
16,67.592000
22,-15.662000
21,-17.846000
21,-19.904000
21,-17.328000
16,70.518000
16,67.606000
21,-12.988000
21,-14.444000
21,-5.456000
25,-16.572000
21,-21.052000
21,-26.400000
21,-32.000000
25,-37.264000
26,-30.488000
21,-63.472000
25,-60.546000
26,-45.734000
26,-36.130000
19,-28.304000
16,67.858000
16,69.818000
16,60.648000
16,64.540000
16,66.066000
16,69.146000
16,66.584000
16,72.030000
16,69.860000
16,67.284000
16,67.578000
16,55.538000
16,58.366000
16,53.046000
16,46.256000
16,52.766000
16,54.180000
16,65.072000
16,66.682000
16,66.724000
16,64.008000
16,73.150000
16,74.718000
16,74.102000
16,73.290000
16,72.184000
16,73.374000
16,70.084000
16,70.028000
16,69.230000
16,59.934000
16,60.970000
16,53.102000
16,50.512000
16,46.550000
16,41.860000
16,44.044000
16,50.848000
16,53.410000
16,58.842000
16,58.156000
16,63.378000
16,62.482000
16,57.036000
16,56.336000
16,62.580000
16,59.332000
16,59.136000
16,65.338000
16,51.744000
16,51.422000
16,41.384000
16,49.658000
16,56.112000
16,53.382000
16,44.842000
16,51.310000
16,54.768000
16,60.830000
16,61.698000
16,62.846000
16,63.938000
16,59.766000
16,63.168000
16,66.976000
16,64.610000
16,67.004000
16,65.730000
16,65.394000
16,62.090000
16,55.664000
16,58.170000
16,57.386000
16,49.462000
16,45.318000
16,44.114000
16,49.280000
16,60.172000
16,63.826000
16,64.022000
16,65.464000
16,63.154000
16,53.410000
16,60.956000
16,64.736000
16,67.340000
16,67.550000
16,66.416000
16,62.944000
16,60.872000
16,53.396000
16,56.266000
16,54.516000
16,56.210000
16,47.124000
16,49.462000
16,54.250000
16,53.242000
16,63.266000
16,64.778000
16,65.898000
16,65.114000
16,60.256000
16,60.634000
16,57.694000
16,63.700000
16,67.886000
16,66.150000
16,61.810000
16,49.392000
16,51.800000
16,48.020000
16,46.340000
16,53.382000
16,54.474000
16,50.498000
16,53.480000
16,50.638000
16,57.722000
16,63.168000
16,64.512000
16,52.010000
16,56.392000
16,56.994000
16,51.688000
16,56.910000
16,65.002000
16,68.264000
16,69.006000
16,65.856000
16,63.728000
16,59.640000
16,58.254000
16,51.128000
16,50.134000
16,50.274000
16,51.744000
16,55.356000
16,56.504000
16,54.054000
16,56.560000
16,60.242000
16,62.090000
16,64.722000
16,67.914000
16,68.768000
16,69.412000
16,64.736000
16,62.062000
16,56.476000
16,48.454000
16,58.170000
16,55.300000
16,60.102000
16,54.908000
16,48.104000
16,50.960000
16,53.774000
16,60.606000
16,62.160000
16,64.750000
16,64.456000
16,63.686000
16,62.062000
16,67.816000
16,66.402000
16,68.082000
16,65.366000
16,65.268000
16,65.674000
16,54.404000
16,51.100000
16,50.134000
16,49.616000
16,49.504000
16,49.378000
16,54.110000
16,62.272000
16,68.110000
16,69.972000
16,70.812000
16,73.290000
16,71.680000
16,64.918000
16,62.594000
16,65.128000
16,68.404000
16,66.752000
16,68.936000
16,65.464000
16,64.372000
16,61.740000
16,53.102000
16,47.082000
16,46.746000
16,46.116000
16,48.608000
16,58.688000
16,62.398000
16,66.752000
16,69.286000
16,68.852000
16,67.970000
16,60.018000
16,68.558000
16,62.384000
16,59.066000
16,67.424000
16,62.216000
16,58.212000
16,55.342000
16,58.814000
16,49.952000
16,44.492000
16,39.186000
16,48.090000
16,46.410000
16,56.840000
16,63.210000
16,68.866000
16,66.430000
16,72.170000
16,64.008000
16,58.744000
16,66.052000
16,67.144000
16,61.894000
16,62.132000
16,62.384000
16,56.532000
16,54.628000
16,50.092000
16,45.248000
16,48.118000
16,49.098000
16,42.000000
16,43.414000
16,49.784000
16,64.862000
16,70.462000
16,63.280000
16,64.064000
16,65.310000
16,68.488000
16,64.568000
16,61.642000
16,61.796000
16,58.366000
16,60.844000
16,57.540000
16,46.228000
16,54.152000
16,56.994000
16,53.816000
16,51.422000
16,36.260000
16,36.512000
16,45.822000
16,53.326000
16,59.262000
16,64.414000
16,65.632000
16,62.398000
16,58.086000
16,47.334000
16,57.610000
16,60.872000
16,65.870000
16,62.104000
16,52.024000
16,41.160000
16,42.000000
16,44.492000
16,42.658000
16,39.760000
16,45.262000
16,41.902000
16,50.484000
16,56.070000
16,66.948000
16,67.718000
16,64.778000
16,67.578000
16,58.086000
16,55.006000
16,64.260000
16,60.984000
16,66.024000
16,65.478000
16,52.556000
16,51.758000
16,49.532000
16,45.122000
16,47.194000
16,50.162000
16,50.694000
16,55.804000
16,59.220000
16,64.540000
16,61.516000
16,67.662000
16,67.998000
16,66.794000
16,69.636000
16,70.308000
16,69.902000
16,70.924000
16,67.984000
16,68.950000
16,65.996000
16,63.784000
16,62.524000
16,55.006000
16,51.604000
16,54.460000
16,47.040000
16,49.924000
16,48.972000
16,53.676000
16,60.312000
16,61.824000
16,62.062000
16,55.888000
16,55.524000
16,58.380000
16,64.470000
16,60.368000
16,58.800000
16,58.282000
16,61.838000
16,62.958000
16,55.104000
16,54.460000
16,55.118000
16,49.630000
16,49.504000
16,53.018000
16,54.586000
16,58.730000
16,59.486000
16,61.558000
16,60.074000
16,63.798000
16,65.898000
16,69.272000
16,67.438000
16,71.050000
16,69.832000
16,71.708000
16,65.870000
16,64.526000
16,62.118000
16,56.910000
16,55.972000
16,46.200000
16,41.622000
16,47.838000
16,49.140000
16,59.472000
16,59.332000
16,44.212000
16,49.784000
16,49.798000
16,62.566000
16,64.036000
16,64.176000
